Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/kl	loss/entropy	loss/rew_loss	loss/cost_loss	loss/optim_A	loss/optim_B	loss/optim_C	loss/optim_Q	loss/optim_R	loss/optim_S	loss/optim_lam	loss/optim_nu	loss/optim_case	loss/step_size	loss/vf0	loss/vf1	loss/vf_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
9101200	1.5	7460.0	812372.4756519174	-241.70156660633106	42.13574373587934	1220.0	0.05083911772817373	0.3963753655552864	-0.04143964029329478	42.13259315490723	-1.6298145055770874e-09	-17723930.28125	40.63259315490723	0.03729112120345235	-0.0038496458291774616	0.00043315151106071426	0.0	12.390148639678955	0.0	0.10737418240000006	0.9010145217180252	0.3302926570177078	1.231307178735733	1492.0	0.0	333.04063900525364	1220.0	36677.57335400581	1672.8836059570312	544.0426319913239	9462.969753026962	25541.71999502182	259.9994476599329	1177.0	9101200.0
9125600	1.5	7480.0	814478.2248516569	-389.80672208540426	105.28745998697885	1220.0	0.08066641818732023	0.5305930599570274	0.027302073455858	105.28074073791504	1.7462298274040222e-10	-34462263.25	103.78074073791504	0.006284724047873169	0.001548743064631708	0.00038202311043278314	0.0	7.807903409004211	0.0	0.10737418240000006	2.994852125644684	0.32255952060222626	3.3174116611480713	1496.0	0.0	333.04063900525364	1220.0	36769.43467593193	1676.3615579605103	544.369438482135	9482.90742301941	25610.16569495201	260.0399221043629	1176.0	9125600.0
9150000	1.5	7500.0	815293.5971443643	-246.06681994568126	40.768614635364465	1220.0	0.05083911772817373	0.3963753655552864	-0.03601184880818975	40.7632999420166	-6.984919309616091e-10	-6551814.28125	39.2632999420166	0.017835959559306502	-0.0038268482603598386	0.0014324473122542258	0.0	7.62642765045166	0.0	0.10737418240000006	1.0374078750610352	0.3041631653904915	1.3415710628032684	1500.0	0.0	333.04063900525364	1220.0	36854.617571115494	1679.8748517036438	544.6834322640484	9503.09852194786	25671.64419746399	260.12983443800425	1175.0	9150000.0
9174400	1.5	7520.0	817488.5266230573	-390.72829872128364	109.74647393465473	1220.0	0.08066641818732023	0.5305930599570274	0.031193184405871044	109.73971557617188	-6.402842700481415e-10	-33864221.5	108.23971557617188	0.008293352497275919	0.0017954826034838334	0.00039185283458209597	0.0	7.492582321166992	0.0	0.10737418240000006	2.9329243898391724	0.324223592877388	3.257148027420044	1504.0	0.0	333.04063900525364	1220.0	36945.99612379074	1683.3048105239868	545.0230963900204	9523.297248840332	25739.394064426422	260.17299469562465	1174.0	9174400.0
9198800	1.5	7540.0	818308.7725692187	-244.0825674863013	41.01229730806749	1220.0	0.08066644612699747	-0.006277891807258129	0.03097167733171191	41.011484146118164	1.6298145055770874e-09	-474154112.0	39.511484146118164	0.008296736923512071	0.00024653072068758775	7.750228007807891e-06	0.0	72.33674001693726	0.0	0.10737418240000006	1.0313998758792877	0.2904770150780678	1.321876883506775	1508.0	0.0	333.04063900525364	1220.0	37028.536642074585	1686.6785633563995	545.3795524438802	9543.335490942001	25798.522587776184	260.2805992687533	1173.0	9198800.0
9223200	1.5	7560.0	820346.6027285648	-159.5651725757773	101.89150796730539	1220.0	0.0076292811427265406	-0.30407358333468437	-0.00549637633620037	101.89163780212402	-8.149072527885437e-10	-9704977968.0	100.39163780212402	0.009903647471219301	0.00015072631504153833	7.220543686514702e-06	0.0	106.17811965942383	0.0	0.15476981760000008	0.6030074134469032	0.5300576165318489	1.1330650597810745	1512.0	0.0	333.04063900525364	1220.0	37106.57171678543	1690.117915391922	545.7134035444639	9563.327414989471	25853.126386404037	260.421329919742	1172.0	9223200.0
9247600	1.5	7580.0	822542.5221647072	-150.99114837535134	109.79597180712298	1220.0	0.05083911772817373	-0.1824388299137354	-0.032830388858059445	109.79192161560059	6.984919309616089e-10	-97387218.625	108.29192161560059	0.021301156375557184	-0.003596188558731228	0.0006796646575821796	0.0	10.461937546730042	0.0	0.10737418240000006	0.5109082385897636	0.504639282822609	1.015547513961792	1516.0	0.0	333.04063900525364	1220.0	37183.68005609512	1693.5014526844025	546.0638953300836	9583.453493118286	25906.725110292435	260.567863107662	1171.0	9247600.0
9272000	1.5	7600.0	823440.543563215	-233.08184315670806	44.90106992538857	1220.0	0.05083911446854472	0.3544320724904537	-0.03785004242430212	44.8992862701416	-6.984919309616089e-09	-59042071.5	43.3992862701416	0.024551898008212447	-0.0011870030575664714	5.954811467745458e-05	0.0	22.666513681411743	0.0	0.10737418240000006	0.8520683944225311	0.36115044355392456	1.2132188379764557	1520.0	0.0	333.04063900525364	1220.0	37263.71294212341	1696.878155708313	546.4151900835609	9603.604125022888	25963.230661392212	260.6923010068211	1170.0	9272000.0
9296400	1.5	7620.0	825222.8484564619	-376.5411944966594	89.11524466234997	1220.0	0.08066644612699747	0.4886498600244522	0.02983794277381202	89.11004447937012	2.153683453798294e-09	-59920562.75	87.61004447937012	0.007625397760421038	0.0013617235672427341	0.00024544534426240716	0.0	11.579291820526123	0.0	0.10737418240000006	2.706579267978668	0.33785008639097214	3.044429361820221	1524.0	0.0	333.04063900525364	1220.0	37349.69836688042	1700.3406767845154	546.7374936639321	9623.550333023071	26025.80735707283	260.77328183062116	1169.0	9296400.0
9320800	1.5	7640.0	826106.2070937259	-235.92450805001107	44.16793186319823	1220.0	0.05083911446854472	0.3544320724904537	-0.04433001262395342	44.16343116760254	-4.423782229423523e-09	-10503355.90625	42.66343116760254	0.0489564691670239	-0.006421233527362347	0.0008843448276820709	0.0	8.942891001701355	0.0	0.10737418240000006	0.9084585160017014	0.3252728059887886	1.2337313294410706	1528.0	0.0	333.04063900525364	1220.0	37429.59415912628	1703.7224025726318	547.0844302995331	9643.526494026184	26082.345262527466	260.897762369932	1168.0	9320800.0
9345200	1.5	7660.0	827979.2759394797	-377.4476596220375	93.65344228769024	1220.0	0.08066644612699747	0.4886498600244522	0.030790257694230216	93.6455249786377	-2.910383045673371e-10	-26679639.875	92.1455249786377	0.008018759428523481	0.002089060959406197	0.0005472114753501955	0.0	7.4206767082214355	0.0	0.10737418240000006	2.7373883724212646	0.31231582164764404	3.0497041940689087	1532.0	0.0	333.04063900525364	1220.0	37514.41521692276	1707.0871982574463	547.4354215496054	9663.474811792374	26143.85320687294	260.98568413506365	1167.0	9345200.0
9369600	1.5	7680.0	828885.4927424839	-232.30918903689363	45.31084015020882	1220.0	0.02022013859823346	0.23895768448710442	-0.01933386255727454	45.31105613708496	-2.0954757928848267e-09	-425602156.28125	43.81105613708496	0.03421382256783545	0.0024302074998558965	0.00034518451320764143	0.0	54.67736613750458	0.0	0.16916152320000008	0.9275140464305878	0.31203562766313553	1.2395496666431427	1536.0	0.0	333.04063900525364	1220.0	37594.40805196762	1710.4574933052063	547.7832706555387	9683.449271917343	26200.50128674507	261.10837447183394	1166.0	9369600.0
9394000	1.5	7700.0	829663.6786840962	-250.66624680724536	38.909297080618686	1220.0	0.08066644612699747	0.02675215806812048	0.032998403486352856	38.90898513793945	-6.984919309616089e-10	-6991349760.0	37.40898513793945	0.009164844290353358	6.45770433038706e-05	6.605143649807133e-07	0.0	258.59506607055664	0.0	0.10737418240000006	0.994252160191536	0.29805314540863037	1.2923052906990051	1540.0	0.0	333.04063900525364	1220.0	37674.07730293274	1713.9027931690216	548.105764074893	9703.768406867981	26256.406102895737	261.23343749206197	1165.0	9394000.0
9418400	1.5	7720.0	831687.4793392669	-159.8235641416024	101.19003275853674	1220.0	0.08066641818732023	-0.5101187974214554	0.023442811483486814	101.18915748596191	-1.4551915228366852e-09	-3641839136.0	99.68915748596191	0.004753091401653364	0.00021230134461802663	1.0466834424960325e-05	0.0	75.94132471084595	0.0	0.10737418240000006	0.5817310586571693	0.5421948060393333	1.1239258795976639	1544.0	0.0	333.04063900525364	1220.0	37750.99542307854	1717.3641502857208	548.4218357785705	9723.920845031738	26309.710427761078	261.3780423265684	1164.0	9418400.0
