Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/alpha_loss	loss/alpha_value	loss/actor_rew	loss/actor_total	loss/q0	loss/q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
6978400	1.5	5720.0	469793.4152638556	-323.77812281254535	36.2823177004884	1220.0	0.02046066465254357	47.87426762432592	-31083347652997.477	0.003014831507547949	1234120654257.1006	3637647402598.395	-561557284615.5533	7.823927203037453e+24	7.088619621019569e+24	1.4912546831617151e+25	697840.0	-325.99366023951285	36.95093297661189	1220.0	21742.844698905945	4509.640724658966	618.9761381071198	6596.955069065094	10636.248905181885	404.9392098200896	406.0	6978400.0
6984500	1.5	5725.0	469992.4179215119	-319.97721470962716	39.800531531268184	1220.0	0.0202399077753163	48.40733975179255	-31475946897784.027	-0.1828105107926933	1246602729559.2915	3660548111202.202	-562981120396.1704	7.980513965451522e+24	7.248273214171997e+24	1.5228787195688813e+25	698450.0	-325.9298356656236	39.52672836064312	1220.0	21761.702940940857	4513.545617580414	618.9812260051286	6602.6833753585815	10645.473948001862	404.941807351234	405.0	6984500.0
6990600	1.5	5730.0	470176.4743418014	-326.08112021775275	36.811284057904395	1220.0	0.020439986389793465	47.923711637075336	-31223836484309.2	0.09417863295215072	1245222922582.451	3650537852055.083	-563597842626.7285	7.96552680900198e+24	7.221133246334909e+24	1.5186660043051647e+25	699060.0	-325.05397966817856	40.62234259122324	1220.0	21780.538858890533	4517.428023815155	618.9893862743738	6608.42276930809	10654.688065767288	404.94439656822584	404.0	6990600.0
6996700	1.5	5735.0	470355.83729389805	-326.4956627355392	35.872590419327075	1220.0	0.020452422620756076	47.89396325035613	-31289494627942.406	-0.018522238487102955	1242945081384.288	3658690158726.296	-565116900711.2391	7.918248946467371e+24	7.18446700468614e+24	1.5102715975723993e+25	699670.0	-339.5035009590739	38.50249286653133	1220.0	21799.650006771088	4521.444888830185	618.9791247735612	6614.192721366882	10664.01239657402	404.9436820688594	403.0	6996700.0
7002800	1.5	5740.0	470548.59783484455	-320.7434164014867	38.55210818930126	1220.0	0.020278045680017225	48.31441696994691	-31588777347119.02	-0.13489133655780636	1253289155775.3706	3674652088837.037	-566043913125.3505	8.088253915881507e+24	7.349097831795305e+24	1.5437351759962036e+25	700280.0	-336.04517630170926	39.683241001164525	1220.0	21818.691212892532	4525.371341943741	618.9812478011718	6619.97975730896	10673.340113639832	404.9424894848599	402.0	7002800.0
7008900	1.5	5745.0	470742.3021585004	-328.56616875373044	38.7408647311762	1220.0	0.020369337185813994	48.09339910659632	-31536670071462.21	0.040766927575478853	1254896318739.3054	3674480613140.986	-567534350134.5568	8.066100354342219e+24	7.31641977810533e+24	1.538252015512797e+25	700890.0	-332.97229445434846	41.30255878365851	1220.0	21837.411353826523	4529.262057065964	618.9882512155046	6625.669102430344	10682.480194330215	404.9479744961412	401.0	7008900.0
7015000	1.5	5750.0	470933.4869225133	-328.0295820007396	38.23695280257212	1220.0	0.020380007107447945	48.06769633237991	-31643321028648.3	-1.2235172459353419e-05	1255159082000.788	3685163537659.806	-569787448484.5114	8.086151573913053e+24	7.3278205104449e+24	1.541397208435795e+25	701500.0	-321.8217728635305	35.223868817586975	1220.0	21856.226341962814	4533.116436958313	619.0002041692105	6631.365309476852	10691.744595527649	404.9503835320831	400.0	7015000.0
7021100	1.5	5755.0	471108.00975050504	-323.4577968471552	34.90456559835029	1220.0	0.02044246519834487	47.917779254967996	-31543425080565.113	-0.005919512800994475	1254134086713.076	3682734763615.687	-569541196212.459	8.089068723309522e+24	7.343918231764001e+24	1.543298691254772e+25	702110.0	-333.3827880850565	43.72596288894956	1220.0	21875.497675657272	4537.093673944473	618.9953749750089	6637.075828552246	10701.328173160553	404.94499951128205	399.0	7021100.0
7027200	1.5	5760.0	471297.1971609021	-324.7643085462605	37.837482079405234	1220.0	0.02025280135269126	48.37588546816595	-31896278052071.64	-0.1461210322184641	1263607513410.3076	3701089372690.462	-571031558553.6003	8.220975329782577e+24	7.468178350017665e+24	1.568915367980024e+25	702720.0	-338.424329457245	40.461647534647724	1220.0	21894.272000789642	4540.983079910278	619.0025266633537	6642.772543430328	10710.516377449036	404.9491731532758	398.0	7027200.0
7033300	1.5	5765.0	471501.04914606095	-335.9953646270325	40.77039703177131	1220.0	0.02018482588595452	48.54216626143124	-32161709454722.09	-0.04500102298181566	1273589426411.0154	3717680790477.6406	-574137771138.9384	8.334101698296495e+24	7.567712498820797e+24	1.5901814218852701e+25	703330.0	-335.6110387542295	43.21879547936608	1220.0	21913.34339594841	4544.8811049461365	619.0084921997849	6648.4810955524445	10719.98119544983	404.94661428050534	397.0	7033300.0
7039400	1.5	5770.0	471705.91271760454	-327.178559706314	40.97271430871699	1220.0	0.02028440409427853	48.298958714890844	-32076485426125.65	0.02050743061499517	1273356656290.8333	3719121523587.7754	-575212254808.9698	8.366441135160507e+24	7.597487755097006e+24	1.596392890254274e+25	703940.0	-336.12360723586346	38.51742026161214	1220.0	21932.183773994446	4548.785367012024	619.0135987553965	6654.17537355423	10729.223033428192	404.9495866799251	396.0	7039400.0
7045500	1.5	5775.0	471904.33013597695	-324.6904972558453	39.683483674487235	1220.0	0.020311432267194517	48.23335719732203	-32024170278012.207	0.015813218643430823	1272847053082.02	3716510706436.1973	-574969102067.4097	8.309820860498685e+24	7.553778895272408e+24	1.5863599754826092e+25	704550.0	-314.9414435154514	38.06681229784375	1220.0	21951.384114980698	4552.67106294632	619.0212209568608	6660.138145446777	10738.5749065876	404.9437437659328	395.0	7045500.0
7051600	1.5	5780.0	472088.7605241997	-313.52689184281047	36.88607764455029	1220.0	0.02036196241529334	48.11117993464746	-31917272372583.24	0.0009661448539280272	1272120953953.3638	3712723493159.4478	-574299947491.4628	8.327804745334013e+24	7.576885195232432e+24	1.590468993962144e+25	705160.0	-327.5037787113702	34.74005555188093	1220.0	21970.24390387535	4556.566524267197	619.0275034892913	6665.823449373245	10747.853930234909	404.94605741677503	394.0	7051600.0
7057700	1.5	5785.0	472260.9010021771	-329.2420809264239	34.42809559547986	1220.0	0.0204061872467434	48.00474487999168	-31878700910101.82	0.0014647898493243322	1271911288818.571	3713551645591.9243	-574743291010.9377	8.27481781207225e+24	7.516943950021952e+24	1.5791761773434423e+25	705770.0	-308.0241941615686	37.33898427806162	1220.0	21990.101504802704	4560.457086324692	619.034440312022	6672.260552406311	10757.383866071701	404.9250707901872	393.0	7057700.0
7063800	1.5	5790.0	472444.3727294135	-323.672907140408	36.69434544728678	1220.0	0.020258383719544304	48.36227953048636	-32242688610451.73	-0.08736283580054995	1280314061404.329	3734729148892.749	-577525185915.3844	8.414350310105525e+24	7.646544617093997e+24	1.6060894942319805e+25	706380.0	-323.43771069625103	31.941287068918776	1220.0	22009.285130023956	4564.432753324509	619.0298231345462	6677.95463514328	10766.897741556168	404.9217412372546	392.0	7063800.0
7069900	1.5	5795.0	472641.0089078881	-321.0255837511918	39.32723569491675	1220.0	0.020181837671114124	48.549501700297625	-32410830639305.445	-0.09714221178752483	1287841145181.1663	3744652061659.069	-578536184754.7803	8.536768823369079e+24	7.768793657511499e+24	1.6305562478045516e+25	706990.0	-318.3788934974144	36.225886842345	1220.0	22028.225878715515	4568.313485145569	619.0380780993814	6683.699913263321	10776.212480306625	404.92184843972467	391.0	7069900.0
7076000	1.5	5800.0	472824.44530592894	-329.31441879751793	36.68727960816779	1220.0	0.020336856224766855	48.17180851100127	-32272630402467.68	0.055477340910278485	1286667252531.199	3744284541787.488	-580176891729.4163	8.409167621756612e+24	7.642711789088045e+24	1.6051879425019932e+25	707600.0	-319.0196035163103	38.5212552635448	1220.0	22047.081315755844	4572.2672290802	619.0364338283416	6689.391356229782	10785.422730445862	404.92562409550175	390.0	7076000.0
7082100	1.5	5805.0	473015.1648514565	-322.966505669409	38.1439091055095	1220.0	0.02023938132711018	48.40862489015528	-32495531143127.72	-0.04529822871821824	1289648545980.0137	3755515368323.7803	-581680132109.4294	8.516983986311891e+24	7.744103909641576e+24	1.6261087918633897e+25	708210.0	-325.0307370203427	45.232154370910656	1220.0	22065.95032596588	4576.117535114288	619.0487849716583	6695.09486413002	10794.737926721573	404.9266842450566	389.0	7082100.0
