Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/estep_loss	estep/dual0	estep/dual1	estep/estep_time	mstep/mstep_kl_mu	mstep/mstep_kl_std	mstep/mstep_loss_kl	mstep/mstep_loss_mle	mstep/mstep_loss_total	mstep/mstep_dual_mu	mstep/mstep_dual_std	mstep/entropy	mstep/mstep_time	loss/loss_q0	estep/val_q0	loss/loss_q1	estep/val_q1	estep/thres_q1	loss/q_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
2549800	1.5	2090.0	145683.34214435754	-390.0114634689249	3.008278481350192	1220.0	-18.417883938648664	2.5434723861881894	20.0	6779.4440143147485	0.0006161236899866028	0.00014304437457018945	0.0	-0.0016706269835818533	-0.0016706269835818533	0.0	0.0	-0.16566378106592142	1381.486598229799	5.726933834103289	-17.45779458030326	0.002402023248590112	0.11478805755738354	0.06147540983485068	5.729335855460559	254980.0	-354.212280400371	1.7332148980953452	1220.0	13956.357805013657	1498.6793303489685	680.5458508342215	2350.0072889328003	10107.671185731888	204.67697935739432	199582.0	2549800.0
2555900	1.5	2095.0	145693.4950116538	-390.1439559285856	2.0305734592563	1220.0	-18.804770858952256	2.218438416230873	20.0	6795.399991013962	0.0006867164970467677	0.0001419010028227798	0.0	-0.0013547377957157094	-0.0013547377957157094	0.0	0.0	-0.1281818789048274	1384.7159283082995	6.094973230655074	-17.730630599475315	0.0023151822956412487	0.11993012190109385	0.06147540983485068	6.097288401107322	255590.0	-355.12412745286235	1.6628636470809264	1220.0	13989.407348871231	1502.1984944343567	680.5758385378779	2355.548464536667	10131.660389900208	204.68144881647063	199581.0	2555900.0
2562000	1.5	2100.0	145706.2060150899	-386.3050054522108	2.5422006872172087	1220.0	-18.42441871205313	2.7843090667099273	20.0	6811.383742883951	0.00038487504443466717	0.00010693439866461963	0.0	-0.0012590198845365914	-0.0012590198845365914	0.0	0.0	-0.14285179325379432	1387.9469374007851	5.966000996554489	-17.622483888219637	0.0024788661420032366	0.1072676088233464	0.06147540983485068	5.9684798610015	256200.0	-356.1226640888545	1.441902518054161	1220.0	14021.978512763977	1505.6146063804626	680.652270280272	2361.101756334305	10155.26215004921	204.69203509601903	199580.0	2562000.0
2568100	1.5	2105.0	145712.69816605575	-395.976831711024	1.2984301931681002	1220.0	-18.300062861208026	2.945654106921838	20.0	6827.395972672448	0.0004273037548075798	0.0001681433110803244	0.0	-0.0011520994465738965	-0.0011520994465738965	0.0	0.0	-0.13736567227017205	1391.1871560667378	6.035495905016292	-17.82267057231213	0.002000611042651561	0.09115595822451542	0.06147540983485068	6.03749652348581	256810.0	-352.18362709376333	1.0189361457662987	1220.0	14055.220670938492	1509.1155655384064	680.6900832896201	2366.640118598938	10179.464986801147	204.69300858117634	199579.0	2568100.0
2574200	1.5	2110.0	145721.03567517016	-386.8896501590167	1.6675018228827256	1220.0	-17.952477023640615	2.4393460559063262	20.0	6843.430133180542	0.0009038095939730307	0.00021269279513050056	0.0	-0.0017946179036325853	-0.0017946179036325853	0.0	0.0	-0.14346751737881647	1394.4285541991712	5.814581934838996	-17.81220103717241	0.001104164362448977	0.07356074437743328	0.06147540983485068	5.815686089484416	257420.0	-349.5657294818354	1.1352526597020363	1220.0	14087.773350000381	1512.580946445465	680.7437330344054	2372.1675114631653	10203.024892091751	204.70462139985167	199578.0	2574200.0
2580300	1.5	2115.0	145728.526665129	-382.73639342402896	1.4981979917662702	1220.0	-17.749367934367715	2.3206469561232907	19.999956281067902	6859.325844955442	0.0007219014178458636	0.00011062563824482623	0.0	-0.0017309191917760126	-0.0017309191917760126	0.0	0.0	-0.13997535726941018	1397.6411107004662	5.924225072196273	-17.686482185613908	0.0007115651635580979	0.06921070890470592	0.06147540983485068	5.924936635083835	258030.0	-351.4970882524884	1.2767216669473231	1220.0	14120.73728775978	1516.0775964260101	680.7830960849972	2377.6689944267273	10226.990696907043	204.71000909084947	199577.0	2580300.0
2586400	1.5	2120.0	145735.1401524775	-394.7579837567961	1.3226974697020641	1220.0	-17.790030454416748	1.9761053849439152	20.0	6875.335499387097	0.0005296863269129557	0.00014500556338089903	0.0	-0.00189684905428115	-0.00189684905428115	0.0	0.0	-0.1390931003192651	1400.918393565397	5.87323476535375	-17.655159210767913	0.0007424604060718998	0.07224678888794826	0.06147540983485068	5.873977224944069	258640.0	-349.44944937433036	1.5397722105712992	1220.0	14153.321546792984	1519.4811336994171	680.8639982789389	2383.165806531906	10250.67460656166	204.7200150889578	199576.0	2586400.0
2592500	1.5	2125.0	145743.66257954633	-392.2215681627197	1.7044854137635403	1220.0	-17.93205108173557	2.3625937710042852	20.0	6891.202503289551	0.0005993319345224501	0.00014112207821005433	0.0	-0.0015445734351323772	-0.0015445734351323772	0.0	0.0	-0.14700456905316148	1404.1168720292253	5.799983450916945	-17.690963998388092	0.0011227620388409815	0.07874217696610053	0.06147540983485068	5.801106209833114	259250.0	-346.41719047603254	1.3965610980141647	1220.0	14186.109243869781	1522.9886095523834	680.8980667982679	2388.683608531952	10274.437025785446	204.72836632182555	199575.0	2592500.0
2598600	1.5	2130.0	145754.4504570677	-385.9896273891342	2.157575504274575	1220.0	-18.228065135830743	2.7799810233663322	20.0	6907.134214058859	0.0005101597958408272	0.0001837210557957897	0.0	-0.0012107777583401382	-0.0012107777583401382	0.0	0.0	-0.1331449306203572	1407.3127209186548	5.75880259817741	-17.925158850873103	0.0019058327529804617	0.08240863503735568	0.06147540983485068	5.760708429432304	259860.0	-352.49104441778803	1.1424464652015613	1220.0	14218.5860247612	1526.41348361969	680.9688273554187	2394.2238886356354	10297.948652505875	204.74036194959314	199574.0	2598600.0
2604700	1.5	2135.0	145763.4726663243	-388.3432579858582	1.8044418513169638	1220.0	-17.934652589579084	3.0719262252088453	20.0	6922.96445006308	0.00033424938607569193	0.00014340967917051485	0.0	-0.0014577729055909889	-0.0014577729055909889	0.0	0.0	-0.14942652476554535	1410.501728830572	5.592127599579389	-17.597374243814443	0.0020863917452993183	0.08462490713010068	0.06147540983485068	5.594213994409217	260470.0	-350.9985297860103	1.220052901838542	1220.0	14251.395967960358	1529.9762065410614	680.9779103398351	2399.7304215431213	10321.689339876175	204.7491592015041	199573.0	2604700.0
2610800	1.5	2140.0	145772.75312113288	-388.155515198029	1.8560909617144463	1220.0	-18.150354008596462	2.764036473289865	20.0	6938.9283233939705	0.0006201875443843707	0.0001508375948493476	0.0	-0.0013836384777143806	-0.0013836384777143806	0.0	0.0	-0.13875777081540616	1413.7162504372045	5.618580267175301	-17.785621532064976	0.0017464468822209547	0.08515162421543085	0.06147540983485068	5.620326723427064	261080.0	-351.42059046986645	1.457064422478712	1220.0	14283.997019767761	1533.3989696502686	681.0491076814694	2405.3180146217346	10345.280035495758	204.7590230464478	199572.0	2610800.0
