Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/vf0	loss/vf1	loss/vf_total	loss/kl	loss/step_size	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
17519200	1.5	14360.0	4667252.4699180825	-3.3963648489869214	332.9223128120394	1220.0	0.007478652519824204	132.713927388554	-0.3393796291434512	2.1389469066102063e-05	-0.0025379423525195843	2.1974117629497414e-05	0.021311793476343155	0.02133376756682992	0.0009766082221176475	1.1572764813899994	-6.967948317527771	57440.0	-3.394383350777285	332.92244559003666	1220.0	37660.55180120468	4055.0633935928345	432.0327033032591	22437.057670354843	11168.430737257004	521.3196067113786	832.0	17519200.0
17543600	1.5	14380.0	4673910.918122513	-3.3953454647299224	332.9224102215146	1220.0	0.0074693949084864405	132.87965320508604	-0.13575300509812394	-0.0007107863157180816	-0.0010193019662855796	4.1775565023272065e-05	0.019730552565306425	0.019772328436374664	0.0007329612999456003	2.060896396636963	-6.966237545013428	57520.0	-3.385829263456322	332.92309744952206	1220.0	37697.79977321625	4059.082934617996	432.20600028590064	22458.911934375763	11179.804904222488	521.530000213024	831.0	17543600.0
17568000	1.5	14400.0	4680569.380671493	-3.38531812810069	332.92312744896344	1220.0	0.0074601555361458755	133.04546261198033	-0.09766432940227077	0.0003812094981237024	-0.0007257472076712679	1.6800110245185351e-06	0.019797317683696747	0.019798997789621353	0.0009639619092922658	4.1238813996315	-6.96089506149292	57600.0	-3.389302855578718	332.92283932791156	1220.0	37735.27339601517	4062.91041636467	432.3993935293101	22481.261290311813	11191.101689338684	521.7335062174584	830.0	17568000.0
17592400	1.5	14420.0	4687227.837205449	-3.3889565665162174	332.9228266978047	1220.0	0.007450949250007204	133.2110872650264	-0.3484164633882827	0.0001410666856218601	-0.0025949823082404566	1.990348039271339e-06	0.019738842733204365	0.019740832969546318	0.0006466006598202512	0.7601190060377121	-6.955994606018066	57680.0	-3.3897759797649165	332.92279796500776	1220.0	37772.73554992676	4066.895604133606	432.57564767876084	22503.298064231873	11202.54188156128	521.9392256146912	829.0	17592400.0
17616800	1.5	14440.0	4693886.294117679	-3.3892127615845773	332.92284561148415	1220.0	0.007441760695686886	133.3768015248841	-0.17203159161034876	0.0006944185340409526	-0.0012750502344373027	1.7440958686165686e-06	0.020181878469884396	0.020183622371405363	0.0006516937137348577	1.5781820714473724	-6.958154678344727	57760.0	-3.3924458711223378	332.9225843983076	1220.0	37810.30602693558	4070.8382329940796	432.7560809765447	22525.545000076294	11213.922793865204	522.1422017558735	828.0	17616800.0
17641200	1.5	14460.0	4700544.745987762	-3.392558607124942	332.9225935041653	1220.0	0.0074325957407534735	133.54249832490228	-0.2368024687688859	-0.00011482586368583014	-0.0017609104980547546	2.3985060011000314e-05	0.02063798625022173	0.0206619706004858	0.0008834855689201504	1.515687346458435	-6.96401584148407	57840.0	-3.392472014514265	332.92258525419163	1220.0	37847.720844984055	4075.1626811027527	432.8956014886314	22547.346367120743	11225.211796760559	522.3530866212768	827.0	17641200.0
17665600	1.5	14480.0	4707203.198696909	-3.3918170009848048	332.92263545733067	1220.0	0.007423452185559547	133.70821593560575	-0.14958956465125084	-0.0017973518809475397	-0.0011238135013370782	7.928907507448457e-05	0.019667810760438442	0.019747099839150906	0.0009722371178213507	2.3844074606895447	-6.963468074798584	57920.0	-3.3848272086060613	332.92317339526966	1220.0	37885.01652407646	4078.964089155197	433.09035367503714	22569.32364630699	11236.728788614273	522.5573152620339	826.0	17665600.0
17690000	1.5	14500.0	4713861.660932814	-3.3850035066203845	332.9231117952571	1220.0	0.007414327735133418	133.87399474687578	-0.10439741206706543	-0.0028303747506601695	-0.000795021981291763	1.087613310346569e-05	0.019729164894670248	0.019740041345357895	0.0006448981293942779	2.3221938610076904	-6.962194800376892	58000.0	-3.376703693794864	332.9237855120924	1220.0	37922.97269010544	4083.2362303733826	433.2347922564935	22591.325384378433	11248.411075353622	522.7582082694527	825.0	17690000.0
17714400	1.5	14520.0	4720520.135862773	-3.3768480612671943	332.92374649796	1220.0	0.007405226749599528	134.03975419173756	-0.21597953401017378	-0.0002582220349092168	-0.0016012896371471186	9.472647428765413e-05	0.019814404658973217	0.019909131340682507	0.0009440266439924017	1.8789314031600952	-6.951726913452148	58080.0	-3.3769617911255927	332.9237744719611	1220.0	37960.220942020416	4087.1464812755585	433.4173018059169	22613.264602422714	11259.809858322144	522.9640439201652	824.0	17714400.0
17738800	1.5	14540.0	4727178.611527168	-3.376531462756452	332.92378321975974	1220.0	0.007396153851349628	134.20540812134715	-0.07957723214978074	-0.0006640320056465754	-0.0005934767326674639	3.863379271251688e-05	0.020149692427366972	0.02018832601606846	0.0006457002455135807	3.3214914202690125	-6.94458270072937	58160.0	-3.3748861990845778	332.9239285479545	1220.0	37997.742547273636	4091.104432106018	433.59440694767164	22635.42447423935	11271.213640928268	523.1659930349986	823.0	17738800.0
17763200	1.5	14560.0	4733837.0896113645	-3.3751573564128656	332.9239042098273	1220.0	0.007387099201951757	134.3711345497822	-0.11892801895737648	-0.00026334826311513737	-0.0008804784672634854	2.22499090796191e-06	0.019611812196671963	0.019614037591964006	0.0009547776426188648	3.4358763098716736	-6.958473324775696	58240.0	-3.374608478951115	332.92396340047026	1220.0	38040.844733953476	4095.9133400917053	433.6810504785312	22659.17042541504	11285.760968446732	523.2946207460034	822.0	17763200.0
17787600	1.5	14580.0	4740495.569096354	-3.374390664823509	332.9239742494738	1220.0	0.007378067568374486	134.53684494384714	-0.22341233682925576	-3.0367853000257128e-05	-0.001648575293686616	3.1328281977494044e-06	0.019638944417238235	0.019642077386379242	0.0006465561309596524	1.130158707499504	-6.950992226600647	58320.0	-3.3758895051555413	332.9238596507175	1220.0	38079.92787408829	4099.7966022491455	433.86542615898884	22682.989767313004	11297.141504526138	523.4706086830624	821.0	17787600.0
17812000	1.5	14600.0	4747154.044982401	-3.376259957527773	332.9237943023329	1220.0	0.0073690587796836635	134.70254083967663	-0.10111244294487065	-5.1023120648530096e-05	-0.0007454795253579449	1.8586774217510538e-06	0.01971231075003743	0.019714169204235077	0.000983574049314484	4.264800071716309	-6.950966000556946	58400.0	-3.3782456351197334	332.9236775331789	1220.0	38117.185937166214	4103.810850143433	434.03559887214226	22704.79708147049	11308.578005552292	523.6763465674379	820.0	17812000.0
17836400	1.5	14620.0	4753812.518844931	-3.3783784806804436	332.92369312655035	1220.0	0.0073600713740121886	134.86824762745078	-0.08279137294250916	0.0004352809005316871	-0.0006061467170591084	1.5257280949754204e-06	0.020207672845572233	0.02020919881761074	0.0008976388489827514	3.784644365310669	-6.979331970214844	58480.0	-3.3784796947714266	332.9236609180079	1220.0	38154.343185186386	4107.623202323914	434.2267808281184	22726.76054739952	11319.959435462952	523.8801273361431	819.0	17836400.0
17860800	1.5	14640.0	4760470.992037295	-3.378253589017846	332.92365961818155	1220.0	0.007351105682036442	135.03395778184142	-0.0451636970855418	0.00030210932843877103	-0.00032978227382898795	2.0001866204211183e-05	0.020277865696698427	0.020297867711633444	0.0008053414348978549	7.566286683082581	-7.014228463172913	58560.0	-3.382736337430932	332.9233368878011	1220.0	38191.775165081024	4111.757276535034	434.3836174846207	22748.525369405746	11331.492519140244	524.0842319511477	818.0	17860800.0
17885200	1.5	14660.0	4767129.458459762	-3.382956134692487	332.92332112334395	1220.0	0.007342162637825588	135.19965251766124	-0.07532981162249541	0.0004291037399184461	-0.0005499331675709596	4.931040177780233e-05	0.019953352864831686	0.020002663601189852	0.0009945504425559193	5.291633725166321	-7.0123878717422485	58640.0	-3.38092939163015	332.92346412992293	1220.0	38229.05105614662	4115.537658452988	434.57748377700347	22770.665024280548	11342.848373413086	524.2849011620478	817.0	17885200.0
17909600	1.5	14680.0	4773787.927814044	-3.381026552986758	332.923467714107	1220.0	0.007333239230071547	135.36538624013272	-0.21932778401208708	-0.00018447701604551447	-0.0016097359026285007	2.043187350864173e-06	0.019643830601125956	0.019645873922854662	0.0006452984525822103	1.2731270790100098	-7.019237399101257	58720.0	-3.3824632763143954	332.9233439670271	1220.0	38267.47908401489	4119.743541479111	434.7260896140617	22792.441189289093	11355.294353246689	524.4740160790776	816.0	17909600.0
17934000	1.5	14700.0	4780446.394684857	-3.3828184988892653	332.92334354065065	1220.0	0.007324339788783775	135.53107704415396	-0.11903717369451527	5.2065127146949663e-05	-0.0008714873534651502	2.440487719468365e-06	0.01993057318031788	0.01993301371112466	0.0009907009662128985	3.571169376373291	-7.025513052940369	58800.0	-3.3880023184693426	332.92292381924585	1220.0	38307.03313112259	4123.539588689804	434.9176142067372	22816.807309150696	11366.68623328209	524.6391793670269	815.0	17934000.0
17958400	1.5	14720.0	4787104.852763253	-3.3878640499349997	332.92290391980936	1220.0	0.007315461992948772	135.69676651507177	-0.3114817125533449	-2.078072019129351e-05	-0.002278784681316204	2.5155808003773927e-05	0.020350192673504353	0.02037534909322858	0.0007325361220864579	1.0350665748119354	-7.041260004043579	58880.0	-3.388341409452415	332.9228909810694	1220.0	38344.07239818573	4127.435298919678	435.0982801523373	22838.617148160934	11378.019951105118	524.8440969783442	814.0	17958400.0
17982800	1.5	14740.0	4793763.311671767	-3.387513113553978	332.9229454257095	1220.0	0.007306604185547302	135.86248421366963	-0.19611599583484107	0.00039396723394524713	-0.0014300633346931435	3.880629574837258e-05	0.019626920111477375	0.01966572692617774	0.0009594364237273112	2.049779385328293	-7.039418935775757	58960.0	-3.3897841889934313	332.92279197720296	1220.0	38386.847365140915	4131.444570064545	435.266640881474	22861.740470170975	11393.662324905396	524.9624448317601	813.0	17982800.0
18007200	1.5	14760.0	4800421.767279813	-3.3900142025228903	332.922780402263	1220.0	0.007297768799321081	136.02818320210844	-0.11386484970934418	-0.00024299641047242915	-0.0008327326509326438	4.264583793656129e-06	0.020111682824790478	0.020115946885198355	0.0007302396697923541	2.8426902890205383	-7.038437008857727	59040.0	-3.3887348217245514	332.9228664957795	1220.0	38424.058847904205	4135.2236268520355	435.45891649173257	22883.872643232346	11404.962577819824	525.1621959133857	812.0	18007200.0
18031600	1.5	14780.0	4807080.224174467	-3.3892421235637444	332.92284473270854	1220.0	0.007288953582095916	136.19390427404164	-0.20664501097112975	5.327228453388955e-05	-0.001505837666148535	3.6879572235193336e-05	0.020777652971446514	0.02081453287974	0.0006466880877269432	1.240818202495575	-7.047861456871033	59120.0	-3.3901281526164775	332.9227559740257	1220.0	38462.25950527191	4139.228702783585	435.62705264084474	22905.88748526573	11417.143317222595	525.3498766983234	811.0	18031600.0
18056000	1.5	14800.0	4813738.6815114515	-3.388809286649681	332.92286684923045	1220.0	0.0072801603115395614	136.35961259189997	-0.10567225302096972	-0.0014268626292057718	-0.0007796987061401417	5.2761763811304256e-05	0.019648439716547728	0.01970120146870613	0.0008192879613488913	3.0743139386177063	-7.048558831214905	59200.0	-3.394592792915957	332.9224044565471	1220.0	38499.025272130966	4143.180008649826	435.8005194634076	22927.587634325027	11428.257629156113	525.5583107190434	810.0	18056000.0
18080400	1.5	14820.0	4820397.128920861	-3.394892558947859	332.9223704704373	1220.0	0.0072713895091096005	136.52529674654335	-0.10841493340789299	0.00018590698851994603	-0.0007869754126997031	1.931423526002618e-06	0.019628003239631653	0.019629934336990118	0.0008996397373266518	3.8233628273010254	-7.058164000511169	59280.0	-3.3926839489218166	332.92256346089147	1220.0	38536.421352148056	4147.185868740082	435.9679207118064	22949.347954273224	11439.88752913475	525.75754435493	809.0	18080400.0
18104800	1.5	14840.0	4827055.580197614	-3.3922885006185943	332.92256383765204	1220.0	0.007262636853816268	136.69103703354438	-0.22106592554781912	-0.00013134325118979717	-0.0016064755011503395	1.4961654244416422e-06	0.01988934399560094	0.01989084016531706	0.000982745288638398	2.174428313970566	-7.070356249809265	59360.0	-3.3953182364380927	332.9223654554543	1220.0	38578.523211956024	4151.231316804886	436.1308397031192	22974.389003038406	11452.902892112732	525.8851046181168	808.0	18104800.0
