Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/nu_loss	loss/nu_value	loss/actor_loss	loss/kl	loss/entropy	loss/vf0	loss/vf1	loss/vf_total	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
31866400	1.5	26120.0	8496844.37542233	-0.005393811036624476	333.04060050358737	1220.0	-331.54060050358737	2.0	0.03657585043618654	1.30723971969131	-4.243048769362428	0.003773276986395742	0.6536999997940472	0.6574732788065647	147016.0	0.0	333.04063900525364	1220.0	35362.44550895691	4646.5638926029205	685.8056993626966	27117.515246868134	3598.366369485855	1037.4567918321916	244.0	31866400.0
31890800	1.5	26140.0	8503504.808349522	-0.7960063072841697	333.02164635956444	1220.0	-331.52164635956444	2.0	-0.13726512449694442	1.068470678797507	-4.242765649836112	0.0057091895847561505	0.6766153320353083	0.6823245179145895	147063.0	-2.6247693646625456	332.96895162391746	1220.0	35387.884493112564	4650.061937570572	685.8145209278948	27137.97471499443	3599.8478405475616	1037.5100559701204	243.0	31890800.0
31915200	1.5	26160.0	8510164.18398222	-2.62503260973993	332.96878163488674	1220.0	-331.46878163488674	2.0	-0.12527974790081065	1.5525064017435417	-4.239227639867903	0.021032343638387133	0.6908066621486177	0.7118390120090323	147110.0	0.0	333.04063900525364	1220.0	35412.96796107292	4653.509499549866	685.8307692954567	27158.178389310837	3601.2800722122192	1037.573533354713	242.0	31915200.0
31939600	1.5	26180.0	8516824.663392501	-0.6820602103051365	333.02397051403216	1220.0	-331.52397051403216	2.0	0.07069765320642195	0.46676287359181556	-4.23964323896043	0.006659695294071384	0.6685562159152741	0.6752159088215932	147157.0	0.0	333.04063900525364	1220.0	35438.429037094116	4656.980746269226	685.8435054855503	27178.738270282745	3602.710020542145	1037.6249908137142	241.0	31939600.0
31964000	1.5	26200.0	8523485.47213686	-0.0098288906225573	333.0404372180095	1220.0	-331.5404372180095	2.0	0.13058678679009697	1.926924187868358	-4.242105250662945	0.004863271955400705	0.6814231637944567	0.6862864310437059	147204.0	0.0	333.04063900525364	1220.0	35463.69474697113	4660.513120174408	685.8472270281652	27198.9938852787	3604.1877415180206	1037.6850153749522	240.0	31964000.0
31988400	1.5	26220.0	8530146.284916965	0.0	333.04063900525495	1220.0	-331.54063900525495	2.0	0.11882492309396571	1.7747201160404695	-4.2407241780707166	0.0038884117545441117	0.6780161299604051	0.6819045448556861	147251.0	0.0	333.04063900525364	1220.0	35488.917660951614	4664.037847280502	685.8520674023204	27219.20951128006	3605.6703023910522	1037.7461386179632	239.0	31988400.0
32012800	1.5	26240.0	8536807.09769707	0.0	333.04063900525495	1220.0	-331.54063900525495	2.0	0.10344361048191787	0.36107703455893486	-4.241012999351988	0.0034046270686419714	0.6619443868068938	0.6653490142619357	147298.0	0.0	333.04063900525364	1220.0	35514.345348119736	4667.489673614502	685.867612754873	27239.653061151505	3607.2026133537292	1037.7978338472408	238.0	32012800.0
32037200	1.5	26260.0	8543467.910477174	0.0	333.04063900525495	1220.0	-331.54063900525495	2.0	0.12724870245190376	3.193855260092607	-4.241075221528398	0.003070633273888777	0.6686390555919484	0.6717096928586351	147345.0	0.0	333.04063900525364	1220.0	35539.8917760849	4670.95574760437	685.8810430056241	27260.18100810051	3608.75502038002	1037.8459422910332	237.0	32037200.0
32061600	1.5	26280.0	8550128.563670145	-0.3509181412467398	333.03265964855143	1220.0	-331.53265964855143	2.0	-0.10068644418757645	1.4409824972179663	-4.240307209339549	0.003121960031344218	0.6679503499193395	0.6710723118579134	147392.0	-2.542450113889522	332.9723025498735	1220.0	35565.27240395546	4674.46769452095	685.887722308577	27280.514507055283	3610.2902023792267	1037.901093920286	236.0	32061600.0
32086000	1.5	26300.0	8556788.01651437	-2.5258953343879513	332.9726422112603	1220.0	-331.4726422112603	2.0	-0.15508443662064508	0.3131508505630723	-4.239439791821419	0.019957196304297195	0.6634218115755853	0.6833790109512655	147439.0	-2.7021012503976176	332.9657118301615	1220.0	35590.48724889755	4677.968124628067	685.8960802036477	27300.728693962097	3611.7904303073883	1037.9613473432262	235.0	32086000.0
32110400	1.5	26320.0	8563447.314379605	-2.7107565362877812	332.9648932616924	1220.0	-331.4648932616924	2.0	-0.14398390938468442	0.38807060517261716	-4.237076383955936	0.0155372617548292	0.6692018261615266	0.6847390862221415	147486.0	-3.113928420153913	332.94219122361056	1220.0	35616.09979391098	4681.444340705872	685.9079733319733	27321.383583784103	3613.2718694210052	1038.0073587234046	234.0	32110400.0
32134800	1.5	26340.0	8570106.15459003	-3.1112873800583603	332.94201052120576	1220.0	-331.44201052120576	2.0	-0.1212519538450114	1.5621970628160353	-4.236146389169894	0.017563475414793545	0.66811728794524	0.6856807616162808	147533.0	-3.808061972686299	332.8670245226837	1220.0	35641.59044408798	4684.918580532074	685.9201381542557	27341.942356586456	3614.729506969452	1038.057325465631	233.0	32134800.0
32159200	1.5	26360.0	8576763.486256309	-3.8106421129976917	332.86658331396654	1220.0	-331.36658331396654	2.0	-0.08576763716546144	0.6129136228180946	-4.2360314917057105	0.023345999399873803	0.6805625982741094	0.7039085988034592	147580.0	-3.7620730336129484	332.8758555180909	1220.0	35666.758679151535	4688.421040296555	685.92815627254	27362.194343805313	3616.1432950496674	1038.1189712279431	232.0	32159200.0
32183600	1.5	26380.0	8583421.002182107	-3.7614860383627855	332.87579628995434	1220.0	-331.37579628995434	2.0	-0.0432009934150475	1.2059756863145208	-4.235701520392235	0.025004627143448973	0.6638223161088662	0.6888269414293005	147627.0	-4.384577734964701	332.7945017832957	1220.0	35691.856868982315	4691.9033262729645	685.9391117413579	27382.35538172722	3617.598160982132	1038.1822010042665	231.0	32183600.0
32208000	1.5	26400.0	8590076.89970423	-4.379963358975923	332.7948761060785	1220.0	-331.2948761060785	2.0	-0.05157432589244017	0.73107326005962	-4.2405374709596035	0.029814704142986464	0.6768399121913508	0.7066546145905839	147674.0	-3.8342200409959153	332.86205757885216	1220.0	35717.245033979416	4695.356306314468	685.9543322981822	27402.86948275566	3619.0192449092865	1038.234656914274	230.0	32208000.0
32232400	1.5	26420.0	8596734.14874542	-3.8366475899410686	332.86245205948626	1220.0	-331.36245205948626	2.0	0.025530084482136565	0.6466908447365177	-4.24152267740128	0.028594736485405167	0.6848240551796366	0.7134187874641827	147721.0	-3.809032791099927	332.86681018233395	1220.0	35742.30716395378	4698.793664455414	685.9718111017694	27423.072603940964	3620.4408955574036	1038.2974208290193	229.0	32232400.0
32256800	1.5	26440.0	8603391.489926117	-3.8060681464006505	332.86705903483784	1220.0	-331.36705903483784	2.0	-0.011926534694639293	0.5837626203336069	-4.241050770942201	0.026248825119530902	0.6645214513261265	0.6907702766834423	147768.0	-3.788226092830613	332.87012178439016	1220.0	35767.745894908905	4702.4617395401	685.9556076506155	27443.41443681717	3621.8697185516357	1038.3552211746073	228.0	32256800.0
32281200	1.5	26460.0	8610048.895256992	-3.7896028653841887	332.87026654383914	1220.0	-331.37026654383914	2.0	-0.031495495639899944	0.4305293302081446	-4.242595784207609	0.02523221020051774	0.6608592912237695	0.6860914991257038	147815.0	-3.3066728506959056	332.9273769956476	1220.0	35793.10566878319	4705.961986780167	685.9638919881479	27463.839260816574	3623.304421186447	1038.4099719874953	227.0	32281200.0
32305600	1.5	26480.0	8616707.432167329	-3.302229056984389	332.92684551680634	1220.0	-331.42684551680634	2.0	0.02895735543062712	0.616292549515183	-4.241442162939841	0.023269743024510275	0.695841835534319	0.7191115788956906	147862.0	-2.57119840001166	332.97105804954606	1220.0	35818.18745803833	4709.403392791748	685.9807348303868	27484.02117085457	3624.7628943920135	1038.471961239091	226.0	32305600.0
32330000	1.5	26500.0	8623366.829361012	-2.584506427961352	332.96985968419375	1220.0	-331.46985968419375	2.0	0.05097079252269358	1.2201093073062443	-4.239222151167847	0.018426145030621517	0.6764141200704775	0.694840264447192	147909.0	-1.1649860996816845	333.0053574822769	1220.0	35843.71728491783	4712.904534816742	685.9888580632396	27504.58948993683	3626.223260164261	1038.5209104408948	225.0	32330000.0
32354400	1.5	26520.0	8630027.13375605	-1.0338980610943445	333.01521975188604	1220.0	-331.51521975188604	2.0	0.10543744699989861	0.2884747214377561	-4.237106800079347	0.01371965713878261	0.6572271103554583	0.6709467667214415	147956.0	-2.241092169718239	332.9842281356966	1220.0	35868.98576116562	4716.3711810112	686.0019866600734	27524.94259095192	3627.6719892024994	1038.5773533310803	224.0	32354400.0
32378800	1.5	26540.0	8636686.842962576	-2.154385644134252	332.9854603262985	1220.0	-331.4854603262985	2.0	-0.06751722117212224	0.20180521269224863	-4.235057293100559	0.011424270438704084	0.6748573475695672	0.6862816195538701	148003.0	-3.055378293359486	332.9463583964241	1220.0	35894.213519096375	4719.823780059814	686.0171376904598	27545.251720905304	3629.138018131256	1038.634605875068	223.0	32378800.0
32403200	1.5	26560.0	8643345.784616956	-3.028890423262379	332.94708271905495	1220.0	-331.44708271905495	2.0	-0.10856953899356277	1.083846057884078	-4.236520767211914	0.015358605382448813	0.681774244029471	0.6971328505810269	148050.0	-2.1687050629586375	332.9870196694541	1220.0	35919.69322705269	4723.256484031677	686.0351562433315	27565.783364772797	3630.6533782482147	1038.6827273550387	222.0	32403200.0
