Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
16030800	1.5	13140.0	829634.7397871085	-388.8811994315148	2.386794235418536	1220.0	0.0469649859261971	20.292458206448632	-0.0056098061688046215	0.011115090744421277	0.0002585555945855882	0.010531585454876398	8.310280295128523	0.005528623836382506	8.315808932831949	2.079210788011551	-0.00591099832920318	94517.0	-416.48821528409854	2.9206639261488383	1220.0	23927.309938192368	3394.2882351875305	472.28752802468813	19569.7689204216	963.2527825832367	780.7326282450686	893.0	16030800.0
16055200	1.5	13160.0	829692.8719641571	-394.0233037726026	2.90660885242889	1220.0	0.04679208945474295	20.3711337034264	-0.0585759974857594	0.01908854676281756	-0.0018477003760537882	0.06488443443432766	7.062384290898101	0.006125450161523483	7.0685097613233205	1.7652797394610467	-0.008653332558559606	94611.0	-391.22436879916546	3.512596695087475	1220.0	23979.509082078934	3399.296522140503	472.30948801989774	19615.943348407745	964.2692115306854	780.1279968921775	892.0	16055200.0
16079600	1.5	13180.0	829732.3151837981	-366.85733120243987	1.9721609820477013	1220.0	0.0470086825671895	20.272665928697325	-0.7558488265631047	0.1262013218068379	-0.02959889942668586	0.42824161673668143	10.749094648564117	0.0020394020297742907	10.751134050653334	2.6581846171237054	-0.008283399521036352	94658.0	-467.67255942916864	18.351997449310677	1220.0	24014.759978294373	3404.3415150642395	472.32629067464694	19645.585717201233	964.8327460289001	780.1685360579502	891.0	16079600.0
16104000	1.5	13200.0	830477.22008889	-454.8283953820186	37.24524525460078	1220.0	0.03762014766469065	25.58150119220759	-0.3926653170839269	0.0858122817379363	-0.011543856233630537	0.24255569074352445	8.141927074878776	0.04178896138167127	8.183716048585607	2.0343851586605637	-0.008280584132893287	94705.0	-409.60933162317303	2.6379842793752166	1220.0	24048.977265119553	3409.3250529766083	472.3515578527763	19674.25641822815	965.3957939147949	780.245705425478	890.0	16104000.0
16128400	1.5	13220.0	830527.960279332	-388.02092505960223	2.5370095220957607	1220.0	0.046905856395200424	20.319299483088077	0.07095312269021434	0.02334243271182826	0.004423013653227047	0.03869457719418224	8.625970045725504	0.010232058756634698	8.636202129066415	2.16347354523679	-0.009496772556123162	94846.0	-406.02421790248263	2.1764470535465614	1220.0	24084.51755309105	3414.428944826126	472.3601006381848	19703.294486284256	966.7941219806671	780.2772550065929	889.0	16128400.0
16152800	1.5	13240.0	830569.6843163989	-383.8987411531874	2.086201853344174	1220.0	0.04695485509364996	20.29705220057717	0.06606946281216879	0.009799593178421613	0.0035624206262113525	0.01270108202601129	8.672982692718497	0.006425630026298797	8.679408339743922	2.173414497933489	-0.01815139868375943	95034.0	-414.4611961811505	2.7033541837454638	1220.0	24120.104341983795	3419.3804609775543	472.38966778742525	19732.183217048645	968.5406639575958	780.3012152063365	888.0	16152800.0
16177200	1.5	13260.0	830621.5338805781	-391.47504619647515	2.5924782089578526	1220.0	0.04678682169659687	20.3735398930237	-0.24873964266574128	0.03640235686040622	-0.009934586662033269	0.13484200182682937	6.9624313293619355	0.006928278673242064	6.969359616015821	1.7324053213951438	-0.02555491061920815	95128.0	-349.6268268990958	33.83238714484387	1220.0	24155.270705223083	3424.4546637535095	472.4022242498704	19761.305566072464	969.51047539711	780.3455477893104	887.0	16177200.0
16201600	1.5	13280.0	830869.416787046	-333.6519645621895	12.39414532339545	1220.0	0.043862324345048935	21.798609397289667	-0.025689867047711954	0.0530191489812383	0.0011987262940664624	0.08009767539779399	13.898835374953899	0.01632338402634289	13.915158789208597	3.4799884380178248	-0.026156805891622885	95175.0	-403.8723807084983	1.5511683271232344	1220.0	24189.085034132004	3429.357732772827	472.4383182649219	19789.68445301056	970.0428483486176	780.4341437056956	886.0	16201600.0
16226000	1.5	13300.0	830901.6359408057	-380.03791690754235	1.6109576879813285	1220.0	0.04699394140962192	20.279338782919194	0.022631408448549033	0.031676260184774055	0.0025521311255742936	0.04091275174745378	6.826361524297834	0.007152278798612506	6.833513777306739	1.710930570642999	-0.02392263357785154	95222.0	-405.79855711001426	1.7203021460948076	1220.0	24235.965027093887	3434.285049676895	472.470973296948	19831.09347820282	970.5864992141724	780.0331520153899	885.0	16226000.0
16250400	1.5	13320.0	830935.1757520068	-381.50292138318775	1.6769905600597579	1220.0	0.04697188198212893	20.289332209010983	0.026366038208312167	0.017213905705733504	0.002047032024886374	0.036900048639546046	5.532440910948085	0.005056446680719865	5.537497378410177	1.386421376086296	-0.02712736992125816	95269.0	-398.2816465130353	1.8280638498657162	1220.0	24272.993410110474	3439.449909925461	472.47090161438564	19862.380103111267	971.1633970737457	780.0113312387634	884.0	16250400.0
16274800	1.5	13340.0	830962.9075112785	-373.59966641190283	1.38658796358219	1220.0	0.047018659447150196	20.268152085961056	-0.10667194514238139	0.02519484144818791	-0.0038309441954116263	0.04596262555346488	5.664838648856954	0.0024751561738431773	5.66731381162684	1.412997508302648	-0.03412407006513564	95363.0	-407.5278864629759	1.8517911031483447	1220.0	24316.669349193573	3444.1555140018463	472.53383111873256	19900.394134283066	972.1197009086609	779.7240010716948	883.0	16274800.0
16299200	1.5	13360.0	831001.1864884311	-384.0029635089111	1.9139488576253019	1220.0	0.04684397349179238	20.34746319449634	-0.0004438339742495049	0.003031352035480828	0.00012120964742977079	0.003605604498551793	5.63111245505353	0.004201941195865497	5.635314392282608	1.4089498085544463	-0.04225755883182615	95551.0	-401.91204500863336	1.3875234597114678	1220.0	24358.9190261364	3452.463884115219	472.10341793849295	19932.547773599625	973.9073684215546	779.6252348509925	882.0	16299200.0
16323600	1.5	13380.0	831030.5374518987	-378.52337762476293	1.4675481733826052	1220.0	0.047009290459545	20.272390844966584	-0.009345562454867866	0.01554976193670263	0.00029165506395653786	0.023119947682332963	5.476752463807453	0.002591863854173967	5.479344314717229	1.3701277330834813	-0.04711040283771273	95645.0	-410.9427182461822	2.284829471803531	1220.0	24398.64377307892	3457.1798050403595	472.1652017115562	19966.323655605316	975.1403124332428	779.4870513787159	881.0	16323600.0
16348000	1.5	13400.0	831080.143317926	-389.82132370429304	2.4802933013638633	1220.0	0.046674897216694745	20.424792760814448	-0.07835769922809398	0.01332004470354382	-0.0030356257227746614	0.030989629538492002	5.504946728970142	0.005480329778560615	5.5104270995931435	1.3745711433126568	-0.04947582442075648	95692.0	-398.82407564038994	1.4661048677257758	1220.0	24437.865967035294	3462.165360927582	472.1900399240333	20000.021281719208	975.679324388504	779.3780196900686	880.0	16348000.0
16372400	1.5	13420.0	831107.2475419247	-373.73036814959676	1.3552111999342447	1220.0	0.04702078261312636	20.267191748544807	-0.15787892035664397	0.022729363193378805	-0.006354837656556542	0.046032431931730275	6.6335917330802765	0.0019265889695429424	6.635518297236016	1.6525247452106884	-0.05019399698110337	95739.0	-439.23248358866243	7.965049110759438	1220.0	24479.17379617691	3467.2527661323547	472.20093556268347	20034.93349838257	976.9875316619873	779.1957706574952	879.0	16372400.0
